NM_001001398	ENSDARG00000009351	ENSDART00000016591
NM_001128357	ENSDARG00000003684	ENSDART00000137136
NM_001128358	ENSDARG00000099265	ENSDART00000158551
NM_001128358	ENSDARG00000115845	ENSDART00000182106
NM_001128359	ENSDARG00000079816	ENSDART00000111302
NM_001128361	ENSDARG00000077395	ENSDART00000145389
NM_001128362	ENSDARG00000009839	ENSDART00000141005
NM_001128363	ENSDARG00000078221	ENSDART00000133532
NM_001128364	ENSDARG00000039459	ENSDART00000057645
NM_001128365	ENSDARG00000051824	ENSDART00000135897
NM_001128366	ENSDARG00000062314	ENSDART00000089968
NM_001128367	ENSDARG00000035415	ENSDART00000098010
NM_001128367	ENSDARG00000109430	ENSDART00000188275
NM_001128368	ENSDARG00000075958	ENSDART00000146987
NM_001128369	ENSDARG00000057209	ENSDART00000125531
NM_001128370	ENSDARG00000042810	ENSDART00000174192
NM_001128371	ENSDARG00000094882	ENSDART00000137895
NM_001128372	ENSDARG00000092577	ENSDART00000147601
NM_001128373	ENSDARG00000076008	ENSDART00000112915
NM_001128374	ENSDARG00000093985	ENSDART00000133578
NM_001128375	ENSDARG00000058765	ENSDART00000081700
NM_001128376	ENSDARG00000105789	ENSDART00000174229
NM_001128377	ENSDARG00000101899	ENSDART00000169793
NM_001128378	ENSDARG00000054720	ENSDART00000076968
NM_001128379	ENSDARG00000092218	ENSDART00000145537
NM_001128380	ENSDARG00000095222	ENSDART00000174046
NM_001128381	ENSDARG00000069482	ENSDART00000101174
NM_001128382	ENSDARG00000070441	ENSDART00000103371
NM_001128383	ENSDARG00000105827	ENSDART00000062830
NM_001128384	ENSDARG00000036125	ENSDART00000074424
NM_001128385	ENSDARG00000077994	ENSDART00000114663
NM_001128386	ENSDARG00000079075	ENSDART00000135743
NM_001128387	ENSDARG00000044704	ENSDART00000065693
NM_001128388	ENSDARG00000090892	ENSDART00000173697
NM_001128389	ENSDARG00000105721	ENSDART00000136845
NM_001128390	ENSDARG00000009822	ENSDART00000079265
NM_001128392	ENSDARG00000105793	ENSDART00000132148
NM_001128393	ENSDARG00000105719	ENSDART00000133406
NM_001128394	ENSDARG00000060435	ENSDART00000085143
NM_001128395	ENSDARG00000058638	ENSDART00000138223
NM_001128396	ENSDARG00000077239	ENSDART00000150765
NM_001128396	ENSDARG00000113140	ENSDART00000183282
NM_001128397	ENSDARG00000105722	ENSDART00000145133
NM_001128398	ENSDARG00000075416	ENSDART00000109236
NM_001128398	ENSDARG00000115358	ENSDART00000181625
NM_001128400	ENSDARG00000092489	ENSDART00000140661
NM_001128401	ENSDARG00000033949	ENSDART00000045135
NM_001128401	ENSDARG00000033949	ENSDART00000153098
NM_001128402	ENSDARG00000094714	ENSDART00000136840
NM_001128403	ENSDARG00000092707	ENSDART00000143214
NM_001128404	ENSDARG00000095060	ENSDART00000138003
NM_001128405	ENSDARG00000022319	ENSDART00000032154
NM_001128406	ENSDARG00000056940	ENSDART00000079524
NM_001128407	ENSDARG00000100546	ENSDART00000162639
NM_001128407	ENSDARG00000112661	ENSDART00000180357
NM_001128407	ENSDARG00000115936	ENSDART00000182537
NM_001128408	ENSDARG00000040635	ENSDART00000098691
NM_001128409	ENSDARG00000105775	ENSDART00000159962
NM_001128410	ENSDARG00000105127	ENSDART00000171264
NM_001128411	ENSDARG00000091172	ENSDART00000126288
NM_001128412	ENSDARG00000093856	ENSDART00000137478
NM_001128413	ENSDARG00000062780	ENSDART00000193206
NM_001128413	ENSDARG00000110099	ENSDART00000193491
NM_001128414	ENSDARG00000093183	ENSDART00000136171
NM_001128415	ENSDARG00000086523	ENSDART00000131286
NM_001128415	ENSDARG00000110551	ENSDART00000185536
NM_001128416	ENSDARG00000058762	ENSDART00000174322
NM_001128417	ENSDARG00000054719	ENSDART00000076967
NM_001128419	ENSDARG00000094462	ENSDART00000141582
NM_001128420	ENSDARG00000076554	ENSDART00000145983
NM_001128421	ENSDARG00000094326	ENSDART00000144753
NM_001128422	ENSDARG00000067560	ENSDART00000097244
NM_001128523	ENSDARG00000058533	ENSDART00000081411
NM_001128523	ENSDARG00000115430	ENSDART00000187415
NM_001128524	ENSDARG00000032238	ENSDART00000047039
NM_001128525	ENSDARG00000069296	ENSDART00000139014
NM_001128525	ENSDARG00000115126	ENSDART00000168925
NM_001128526	ENSDARG00000078050	ENSDART00000142150
NM_001128527	ENSDARG00000060631	ENSDART00000085636
NM_001128527	ENSDARG00000112113	ENSDART00000162290
NM_001128529	ENSDARG00000059461	ENSDART00000141699
NM_001128530	ENSDARG00000020621	ENSDART00000137128
NM_001128532	ENSDARG00000061885	ENSDART00000088876
NM_001128533	ENSDARG00000070094	ENSDART00000102583
NM_001128534	ENSDARG00000061688	ENSDART00000088222
NM_001128535	ENSDARG00000042249	ENSDART00000147284
NM_001128535	ENSDARG00000112188	ENSDART00000185260
NM_001128536	ENSDARG00000079858	ENSDART00000137231
NM_001128536	ENSDARG00000116870	ENSDART00000183936
NM_001128537	ENSDARG00000012519	ENSDART00000132536
NM_001128538	ENSDARG00000057016	ENSDART00000105681
NM_001128539	ENSDARG00000077101	ENSDART00000113797
NM_001128540	ENSDARG00000062021	ENSDART00000089161
NM_001128541	ENSDARG00000099693	ENSDART00000165513
NM_001128542	ENSDARG00000069758	ENSDART00000101765
NM_001128543	ENSDARG00000060393	ENSDART00000146321
NM_001128543	ENSDARG00000109954	ENSDART00000192530
NM_001128544	ENSDARG00000101059	ENSDART00000165660
NM_001128545	ENSDARG00000062511	ENSDART00000137022
NM_001128546	ENSDARG00000002959	ENSDART00000024795
NM_001128547	ENSDARG00000070995	ENSDART00000177852
NM_001128548	ENSDARG00000060366	ENSDART00000084917
NM_001128549	ENSDARG00000104563	ENSDART00000168805
NM_001128550	ENSDARG00000078451	ENSDART00000078399
NM_001128552	ENSDARG00000054373	ENSDART00000076561
NM_001128554	ENSDARG00000079962	ENSDART00000143784
NM_001128555	ENSDARG00000062349	ENSDART00000090052
NM_001128556	ENSDARG00000069294	ENSDART00000100726
NM_001128557	ENSDARG00000000747	ENSDART00000112415
NM_001128557	ENSDARG00000110257	ENSDART00000193486
NM_001128558	ENSDARG00000091944	ENSDART00000139502
NM_001128559	ENSDARG00000094515	ENSDART00000146443
NM_001128561	ENSDARG00000105736	ENSDART00000077848
NM_001128562	ENSDARG00000099773	ENSDART00000163528
NM_001128563	ENSDARG00000100272	ENSDART00000159381
NM_001128564	ENSDARG00000069134	ENSDART00000132911
NM_001128565	ENSDARG00000036743	ENSDART00000172272
NM_001128566	ENSDARG00000092406	ENSDART00000133894
NM_001128567	ENSDARG00000095417	ENSDART00000142844
NM_001128569	ENSDARG00000068704	ENSDART00000076810
NM_001128569	ENSDARG00000109229	ENSDART00000186383
NM_001128569	ENSDARG00000110941	ENSDART00000187721
NM_001128570	ENSDARG00000079263	ENSDART00000136455
NM_001128571	ENSDARG00000098178	ENSDART00000170641
NM_001128572	ENSDARG00000105706	ENSDART00000139330
NM_001128573	ENSDARG00000089994	ENSDART00000143423
NM_001128574	ENSDARG00000067847	ENSDART00000097748
NM_001128575	ENSDARG00000068915	ENSDART00000132739
NM_001128576	ENSDARG00000091085	ENSDART00000126441
NM_001128577	ENSDARG00000054734	ENSDART00000132518
NM_001128578	ENSDARG00000090931	ENSDART00000123819
NM_001128579	ENSDARG00000005865	ENSDART00000139966
NM_001128580	ENSDARG00000054718	ENSDART00000132455
NM_001128581	ENSDARG00000105808	ENSDART00000174064
NM_001128583	ENSDARG00000070344	ENSDART00000103138
NM_001128584	ENSDARG00000075694	ENSDART00000112926
NM_001128585	ENSDARG00000105792	ENSDART00000135857
NM_001128586	ENSDARG00000105796	ENSDART00000123748
NM_001128587	ENSDARG00000053114	ENSDART00000146083
NM_001128666	ENSDARG00000045129	ENSDART00000066367
NM_001128667	ENSDARG00000035970	ENSDART00000052222
NM_001128667	ENSDARG00000114075	ENSDART00000170549
NM_001128668	ENSDARG00000028816	ENSDART00000046689
NM_001128668	ENSDARG00000113132	ENSDART00000190210
NM_001128669	ENSDARG00000054543	ENSDART00000076749
NM_001128670	ENSDARG00000022261	ENSDART00000129117
NM_001128671	ENSDARG00000071031	ENSDART00000075184
NM_001128672	ENSDARG00000004953	ENSDART00000009315
NM_001128673	ENSDARG00000030133	ENSDART00000047358
NM_001128673	ENSDARG00000099077	ENSDART00000172189
NM_001128674	ENSDARG00000035679	ENSDART00000155525
NM_001128675	ENSDARG00000104045	ENSDART00000184100
NM_001128676	ENSDARG00000045075	ENSDART00000133023
NM_001128676	ENSDARG00000116020	ENSDART00000189087
NM_001128677	ENSDARG00000016570	ENSDART00000193105
NM_001128678	ENSDARG00000011696	ENSDART00000190911
NM_001128679	ENSDARG00000099564	ENSDART00000159069
NM_001128680	ENSDARG00000052374	ENSDART00000029797
NM_001128681	ENSDARG00000044968	ENSDART00000124167
NM_001128682	ENSDARG00000039052	ENSDART00000057022
NM_001128684	ENSDARG00000071361	ENSDART00000139658
NM_001128685	ENSDARG00000063341	ENSDART00000092479
NM_001128686	ENSDARG00000035433	ENSDART00000112342
NM_001128687	ENSDARG00000053805	ENSDART00000075889
NM_001128688	ENSDARG00000074601	ENSDART00000113193
NM_001128689	ENSDARG00000007490	ENSDART00000020769
NM_001128689	ENSDARG00000115574	ENSDART00000165530
NM_001128690	ENSDARG00000063078	ENSDART00000091845
NM_001128690	ENSDARG00000115809	ENSDART00000193133
NM_001128691	ENSDARG00000102033	ENSDART00000158459
NM_001128692	ENSDARG00000034168	ENSDART00000159601
NM_001128692	ENSDARG00000109657	ENSDART00000098299
NM_001128693	ENSDARG00000070618	ENSDART00000103879
NM_001128694	ENSDARG00000055463	ENSDART00000077823
NM_001128694	ENSDARG00000115840	ENSDART00000182263
NM_001128695	ENSDARG00000037954	ENSDART00000055307
NM_001128696	ENSDARG00000071543	ENSDART00000105848
NM_001128697	ENSDARG00000093584	ENSDART00000145538
NM_001128697	ENSDARG00000109499	ENSDART00000184387
NM_001128698	ENSDARG00000035963	ENSDART00000052201
NM_001128699	ENSDARG00000057099	ENSDART00000024984
NM_001128700	ENSDARG00000069649	ENSDART00000147086
NM_001128701	ENSDARG00000091003	ENSDART00000126460
NM_001128702	ENSDARG00000003776	ENSDART00000014787
NM_001128703	ENSDARG00000014201	ENSDART00000135485
NM_001128704	ENSDARG00000054848	ENSDART00000077121
NM_001128705	ENSDARG00000109823	ENSDART00000183727
NM_001128706	ENSDARG00000104758	ENSDART00000165297
NM_001128707	ENSDARG00000020204	ENSDART00000132564
NM_001128708	ENSDARG00000057142	ENSDART00000053213
NM_001128709	ENSDARG00000053987	ENSDART00000076115
NM_001128710	ENSDARG00000074895	ENSDART00000110157
NM_001128711	ENSDARG00000042515	ENSDART00000147917
NM_001128712	ENSDARG00000071007	ENSDART00000104715
NM_001128712	ENSDARG00000113711	ENSDART00000187479
NM_001128712	ENSDARG00000114273	ENSDART00000193365
NM_001128713	ENSDARG00000035883	ENSDART00000052098
NM_001128713	ENSDARG00000111459	ENSDART00000182676
NM_001128714	ENSDARG00000061439	ENSDART00000098806
NM_001128715	ENSDARG00000044325	ENSDART00000102886
NM_001128716	ENSDARG00000060354	ENSDART00000084958
NM_001128717	ENSDARG00000096843	ENSDART00000154424
NM_001128718	ENSDARG00000076379	ENSDART00000154024
NM_001128719	ENSDARG00000096979	ENSDART00000002945
NM_001128720	ENSDARG00000073994	ENSDART00000143254
NM_001128721	ENSDARG00000089556	ENSDART00000152239
NM_001128721	ENSDARG00000111890	ENSDART00000189712
NM_001128722	ENSDARG00000068822	ENSDART00000166957
NM_001128723	ENSDARG00000074661	ENSDART00000189772
NM_001128724	ENSDARG00000006891	ENSDART00000016535
NM_001128725	ENSDARG00000051852	ENSDART00000099934
NM_001128726	ENSDARG00000073723	ENSDART00000112242
NM_001128727	ENSDARG00000008029	ENSDART00000026234
NM_001128728	ENSDARG00000092883	ENSDART00000008322
NM_001128729	ENSDARG00000068194	ENSDART00000098473
NM_001128730	ENSDARG00000068274	ENSDART00000098671
NM_001128730	ENSDARG00000113687	ENSDART00000187017
NM_001128731	ENSDARG00000068096	ENSDART00000098285
NM_001128732	ENSDARG00000005853	ENSDART00000026378
NM_001128732	ENSDARG00000113366	ENSDART00000179798
NM_001128733	ENSDARG00000101776	ENSDART00000170569
NM_001128734	ENSDARG00000054878	ENSDART00000077155
NM_001128735	ENSDARG00000068088	ENSDART00000098273
NM_001128736	ENSDARG00000077323	ENSDART00000115025
NM_001128737	ENSDARG00000070484	ENSDART00000103487
NM_001128738	ENSDARG00000117093	ENSDART00000187467
NM_001128739	ENSDARG00000012789	ENSDART00000026280
NM_001128740	ENSDARG00000062906	ENSDART00000091472
NM_001128740	ENSDARG00000110270	ENSDART00000181848
NM_001128740	ENSDARG00000113755	ENSDART00000180800
NM_001128741	ENSDARG00000052948	ENSDART00000074900
NM_001128742	ENSDARG00000037916	ENSDART00000055262
NM_001128743	ENSDARG00000078859	ENSDART00000109464
NM_001128744	ENSDARG00000038176	ENSDART00000055659
NM_001128745	ENSDARG00000061149	ENSDART00000086905
NM_001128746	ENSDARG00000004577	ENSDART00000026401
NM_001128747	ENSDARG00000059887	ENSDART00000083778
NM_001128748	ENSDARG00000068863	ENSDART00000133167
NM_001128748	ENSDARG00000116489	ENSDART00000193413
NM_001128749	ENSDARG00000070485	ENSDART00000103489
NM_001128749	ENSDARG00000111281	ENSDART00000183642
NM_001128750	ENSDARG00000070486	ENSDART00000103491
NM_001128750	ENSDARG00000111858	ENSDART00000191465
NM_001128751	ENSDARG00000016427	ENSDART00000016294
NM_001128752	ENSDARG00000020102	ENSDART00000022976
NM_001128753	ENSDARG00000101901	ENSDART00000167892
NM_001128754	ENSDARG00000052437	ENSDART00000074290
NM_001128754	ENSDARG00000116215	ENSDART00000192574
NM_001128755	ENSDARG00000077399	ENSDART00000111213
NM_001128756	ENSDARG00000077167	ENSDART00000112743
NM_001128756	ENSDARG00000115224	ENSDART00000186066
NM_001128757	ENSDARG00000093498	ENSDART00000110735
NM_001128758	ENSDARG00000020866	ENSDART00000103190
NM_001128759	ENSDARG00000114405	ENSDART00000073457
NM_001128760	ENSDARG00000027153	ENSDART00000048430
NM_001128761	ENSDARG00000022098	ENSDART00000122687
NM_001128761	ENSDARG00000110010	ENSDART00000185271
NM_001128762	ENSDARG00000098586	ENSDART00000171386
NM_001128763	ENSDARG00000102983	ENSDART00000159086
NM_001128764	ENSDARG00000078094	ENSDART00000111343
NM_001128765	ENSDARG00000054321	ENSDART00000076494
NM_001128766	ENSDARG00000111977	ENSDART00000193063
NM_001128766	ENSDARG00000115431	ENSDART00000184712
NM_001128767	ENSDARG00000077775	ENSDART00000111383
NM_001128768	ENSDARG00000094730	ENSDART00000046209
NM_001128769	ENSDARG00000058421	ENSDART00000081298
NM_001128772	ENSDARG00000025658	ENSDART00000127485
NM_001128773	ENSDARG00000109567	ENSDART00000179987
NM_001128774	ENSDARG00000074379	ENSDART00000109858
NM_001128775	ENSDARG00000077138	ENSDART00000112845
NM_001128776	ENSDARG00000079847	ENSDART00000109488
NM_001128777	ENSDARG00000104654	ENSDART00000167747
NM_001128778	ENSDARG00000098810	ENSDART00000110590
NM_001128779	ENSDARG00000055708	ENSDART00000078114
NM_001128780	ENSDARG00000076831	ENSDART00000112428
NM_001128780	ENSDARG00000112508	ENSDART00000180165
NM_001128781	ENSDARG00000069150	ENSDART00000100422
NM_001128782	ENSDARG00000074014	ENSDART00000190844
NM_001128783	ENSDARG00000074697	ENSDART00000111666
NM_001128784	ENSDARG00000093804	ENSDART00000146411
NM_001128784	ENSDARG00000116656	ENSDART00000191428
NM_001128785	ENSDARG00000100942	ENSDART00000169029
NM_001128785	ENSDARG00000115294	ENSDART00000185159
NM_001128786	ENSDARG00000077537	ENSDART00000173804
NM_001128787	ENSDARG00000052057	ENSDART00000073806
NM_001128788	ENSDARG00000057410	ENSDART00000080076
NM_001128788	ENSDARG00000110516	ENSDART00000184975
NM_001128790	ENSDARG00000058553	ENSDART00000081432
NM_001128791	ENSDARG00000043398	ENSDART00000080346
NM_001128791	ENSDARG00000068018	ENSDART00000157469
NM_001128792	ENSDARG00000078613	ENSDART00000113357
NM_001128793	ENSDARG00000016460	ENSDART00000014210
NM_001128794	ENSDARG00000071457	ENSDART00000105666
NM_001128795	ENSDARG00000030087	ENSDART00000045036
NM_001128795	ENSDARG00000109444	ENSDART00000182691
NM_001128796	ENSDARG00000115221	ENSDART00000130723
NM_001128797	ENSDARG00000068638	ENSDART00000099359
NM_001128798	ENSDARG00000042793	ENSDART00000149600
NM_001128799	ENSDARG00000061432	ENSDART00000087623
NM_001128799	ENSDARG00000113537	ENSDART00000181991
NM_001128800	ENSDARG00000079522	ENSDART00000128896
NM_001128801	ENSDARG00000077858	ENSDART00000113083
NM_001128802	ENSDARG00000074809	ENSDART00000114358
NM_001128803	ENSDARG00000076828	ENSDART00000111256
NM_001128804	ENSDARG00000079345	ENSDART00000140740
NM_001128805	ENSDARG00000102594	ENSDART00000161421
NM_001128807	ENSDARG00000116941	ENSDART00000192436
NM_001128809	ENSDARG00000028815	ENSDART00000099586
NM_001128809	ENSDARG00000116996	ENSDART00000192327
NM_001128810	ENSDARG00000008010	ENSDART00000020616
NM_001128811	ENSDARG00000040180	ENSDART00000058777
NM_001128812	ENSDARG00000076393	ENSDART00000111580
NM_001128813	ENSDARG00000069769	ENSDART00000101784
NM_001128813	ENSDARG00000110674	ENSDART00000186741
NM_001128814	ENSDARG00000098561	ENSDART00000170005
NM_001128815	ENSDARG00000079532	ENSDART00000114263
NM_001128816	ENSDARG00000112784	ENSDART00000192254
NM_001128816	ENSDARG00000115127	ENSDART00000138577
NM_001128817	ENSDARG00000038700	ENSDART00000056519
NM_001128818	ENSDARG00000111698	ENSDART00000191039
NM_001128819	ENSDARG00000036993	ENSDART00000138974
NM_001128820	ENSDARG00000069909	ENSDART00000146877
NM_001128820	ENSDARG00000112410	ENSDART00000192790
NM_001128821	ENSDARG00000041150	ENSDART00000099872
NM_001128825	ENSDARG00000103207	ENSDART00000167798
NM_001128825	ENSDARG00000114706	ENSDART00000187549
NM_001128825	ENSDARG00000116431	ENSDART00000182820
NM_001129823	ENSDARG00000013938	ENSDART00000022499
NM_001129893	ENSDARG00000018228	ENSDART00000024191
NM_001129893	ENSDARG00000113913	ENSDART00000184090
NM_001129894	ENSDARG00000070378	ENSDART00000103203
NM_001130073	ENSDARG00000058990	ENSDART00000131215
NM_001130074	ENSDARG00000102338	ENSDART00000162022
NM_001130075	ENSDARG00000102704	ENSDART00000161792
NM_001130076	ENSDARG00000014670	ENSDART00000014183
NM_001130114	ENSDARG00000010032	ENSDART00000029492
NM_001130135	ENSDARG00000045708	ENSDART00000067193
NM_001130135	ENSDARG00000111740	ENSDART00000187795
NM_001130192	ENSDARG00000053291	ENSDART00000145055
NM_001130192	ENSDARG00000112537	ENSDART00000190354
NM_001130397	ENSDARG00000098345	ENSDART00000165616
NM_001130399	ENSDARG00000040004	ENSDART00000050456
NM_001130400	ENSDARG00000055389	ENSDART00000130549
NM_001130402	ENSDARG00000068431	ENSDART00000123673
NM_001130512	ENSDARG00000013453	ENSDART00000019202
NM_001130586	ENSDARG00000015866	ENSDART00000058964
NM_001130587	ENSDARG00000074776	ENSDART00000177225
NM_001130588	ENSDARG00000058646	ENSDART00000081543
NM_001130589	ENSDARG00000025326	ENSDART00000188653
NM_001130590	ENSDARG00000015902	ENSDART00000023218
NM_001130590	ENSDARG00000115859	ENSDART00000179558
NM_001130591	ENSDARG00000058693	ENSDART00000132699
NM_001130592	ENSDARG00000003820	ENSDART00000153675
NM_001130593	ENSDARG00000100649	ENSDART00000168611
NM_001130594	ENSDARG00000044490	ENSDART00000124218
NM_001130595	ENSDARG00000052322	ENSDART00000150030
NM_001130596	ENSDARG00000010610	ENSDART00000004200
NM_001130597	ENSDARG00000078807	ENSDART00000111863
NM_001130598	ENSDARG00000009123	ENSDART00000136834
NM_001130599	ENSDARG00000022187	ENSDART00000100391
NM_001130599	ENSDARG00000109772	ENSDART00000189123
NM_001130600	ENSDARG00000061769	ENSDART00000088492
NM_001130601	ENSDARG00000074691	ENSDART00000191408
NM_001130602	ENSDARG00000115557	ENSDART00000186950
NM_001130603	ENSDARG00000045753	ENSDART00000067261
NM_001130603	ENSDARG00000116569	ENSDART00000192466
NM_001130604	ENSDARG00000042484	ENSDART00000133939
NM_001130605	ENSDARG00000074989	ENSDART00000083593
NM_001130606	ENSDARG00000059760	ENSDART00000113358
NM_001130607	ENSDARG00000078600	ENSDART00000111862
NM_001130608	ENSDARG00000068407	ENSDART00000078064
NM_001130609	ENSDARG00000073799	ENSDART00000138508
NM_001130609	ENSDARG00000115078	ENSDART00000167350
NM_001130610	ENSDARG00000008141	ENSDART00000073865
NM_001130611	ENSDARG00000045011	ENSDART00000168755
NM_001130612	ENSDARG00000008439	ENSDART00000066980
NM_001130613	ENSDARG00000112464	ENSDART00000183822
NM_001130614	ENSDARG00000106062	ENSDART00000179533
NM_001130615	ENSDARG00000078182	ENSDART00000074953
NM_001130615	ENSDARG00000110536	ENSDART00000181788
NM_001130616	ENSDARG00000030641	ENSDART00000044658
NM_001130616	ENSDARG00000110586	ENSDART00000180217
NM_001130617	ENSDARG00000009626	ENSDART00000128943
NM_001130619	ENSDARG00000070852	ENSDART00000104372
NM_001130620	ENSDARG00000002947	ENSDART00000005643
NM_001130621	ENSDARG00000061357	ENSDART00000149782
NM_001130622	ENSDARG00000034940	ENSDART00000176461
NM_001130623	ENSDARG00000101190	ENSDART00000168382
NM_001130624	ENSDARG00000073699	ENSDART00000113311
NM_001130625	ENSDARG00000015134	ENSDART00000125864
NM_001130625	ENSDARG00000114689	ENSDART00000181374
NM_001130626	ENSDARG00000046014	ENSDART00000067648
NM_001130627	ENSDARG00000063242	ENSDART00000092217
NM_001130628	ENSDARG00000054805	ENSDART00000077047
NM_001130628	ENSDARG00000115798	ENSDART00000184356
NM_001130629	ENSDARG00000010958	ENSDART00000014661
NM_001130629	ENSDARG00000109932	ENSDART00000187495
NM_001130630	ENSDARG00000105690	ENSDART00000174091
NM_001130631	ENSDARG00000062518	ENSDART00000090534
NM_001130632	ENSDARG00000055856	ENSDART00000078253
NM_001130634	ENSDARG00000008485	ENSDART00000016265
NM_001130636	ENSDARG00000075854	ENSDART00000110179
NM_001130638	ENSDARG00000076264	ENSDART00000114465
NM_001130639	ENSDARG00000077385	ENSDART00000111368
NM_001130641	ENSDARG00000016730	ENSDART00000014057
NM_001130642	ENSDARG00000061101	ENSDART00000148039
NM_001130643	ENSDARG00000058237	ENSDART00000081072
NM_001130644	ENSDARG00000079589	ENSDART00000112797
NM_001130646	ENSDARG00000062487	ENSDART00000090427
NM_001130647	ENSDARG00000076388	ENSDART00000112492
NM_001130648	ENSDARG00000100889	ENSDART00000171965
NM_001130649	ENSDARG00000105690	ENSDART00000174091
NM_001130650	ENSDARG00000031489	ENSDART00000048891
NM_001130650	ENSDARG00000110224	ENSDART00000190029
NM_001130650	ENSDARG00000113121	ENSDART00000183476
NM_001130651	ENSDARG00000056998	ENSDART00000079582
NM_001130652	ENSDARG00000069030	ENSDART00000100104
NM_001130654	ENSDARG00000093656	ENSDART00000188781
NM_001130655	ENSDARG00000090873	ENSDART00000113901
NM_001130656	ENSDARG00000074222	ENSDART00000111571
NM_001130659	ENSDARG00000031876	ENSDART00000149445
NM_001130660	ENSDARG00000060049	ENSDART00000084218
NM_001130661	ENSDARG00000056717	ENSDART00000079251
NM_001130662	ENSDARG00000099885	ENSDART00000168075
NM_001130663	ENSDARG00000029463	ENSDART00000077151
NM_001130664	ENSDARG00000025783	ENSDART00000166030
NM_001130665	ENSDARG00000056921	ENSDART00000079504
NM_001130666	ENSDARG00000067990	ENSDART00000193758
NM_001130667	ENSDARG00000113977	ENSDART00000110396
NM_001130668	ENSDARG00000098601	ENSDART00000171954
NM_001130669	ENSDARG00000022904	ENSDART00000031426
NM_001130670	ENSDARG00000021432	ENSDART00000023521
NM_001130670	ENSDARG00000112116	ENSDART00000190041
NM_001130671	ENSDARG00000116990	ENSDART00000131057
NM_001130672	ENSDARG00000076043	ENSDART00000112452
NM_001130673	ENSDARG00000095773	ENSDART00000160897
NM_001130694	ENSDARG00000060115	ENSDART00000084389
NM_001130694	ENSDARG00000115960	ENSDART00000187700
NM_001130697	ENSDARG00000077777	ENSDART00000104475
NM_001130719	ENSDARG00000015854	ENSDART00000024225
NM_001130767	ENSDARG00000036755	ENSDART00000053369
NM_001130768	ENSDARG00000076652	ENSDART00000111324
NM_001130770	ENSDARG00000079584	ENSDART00000190788
NM_001130771	ENSDARG00000015240	ENSDART00000190333
NM_001130772	ENSDARG00000078481	ENSDART00000183768
NM_001130773	ENSDARG00000076745	ENSDART00000114957
NM_001130774	ENSDARG00000075800	ENSDART00000109635
NM_001130776	ENSDARG00000102960	ENSDART00000165505
NM_001130777	ENSDARG00000059361	ENSDART00000082465
NM_001130778	ENSDARG00000059557	ENSDART00000082902
NM_001130779	ENSDARG00000088844	ENSDART00000130299
NM_001130780	ENSDARG00000079486	ENSDART00000112182
NM_001130781	ENSDARG00000013685	ENSDART00000138135
NM_001130782	ENSDARG00000076552	ENSDART00000113899
NM_001130783	ENSDARG00000078850	ENSDART00000109134
NM_001130784	ENSDARG00000024598	ENSDART00000033755
NM_001130785	ENSDARG00000079796	ENSDART00000115296
NM_001130786	ENSDARG00000073985	ENSDART00000111833
NM_001130787	ENSDARG00000055656	ENSDART00000078049
NM_001130788	ENSDARG00000071375	ENSDART00000093310
NM_001130788	ENSDARG00000115419	ENSDART00000192828
NM_001130789	ENSDARG00000099399	ENSDART00000164797
NM_001130790	ENSDARG00000069407	ENSDART00000100992
NM_001130791	ENSDARG00000063313	ENSDART00000092393
NM_001130792	ENSDARG00000039356	ENSDART00000057519
NM_001130793	ENSDARG00000078055	ENSDART00000173709
NM_001130794	ENSDARG00000078606	ENSDART00000112999
NM_001130795	ENSDARG00000020292	ENSDART00000146132
NM_001130797	ENSDARG00000105820	ENSDART00000141236
NM_001130798	ENSDARG00000105828	ENSDART00000171468
NM_001130799	ENSDARG00000105833	ENSDART00000133527
NM_001130801	ENSDARG00000105708	ENSDART00000166471
NM_001130802	ENSDARG00000105671	ENSDART00000174345
NM_001130804	ENSDARG00000105681	ENSDART00000174115
NM_001130805	ENSDARG00000092558	ENSDART00000140501
NM_001130806	ENSDARG00000053813	ENSDART00000075915
NM_001130807	ENSDARG00000102990	ENSDART00000127677
NM_001130809	ENSDARG00000105835	ENSDART00000147079
NM_001130810	ENSDARG00000105729	ENSDART00000146225
NM_001130812	ENSDARG00000074302	ENSDART00000112778
NM_001130814	ENSDARG00000093603	ENSDART00000131757
NM_001130815	ENSDARG00000105707	ENSDART00000174242
NM_001130816	ENSDARG00000100269	ENSDART00000160392
NM_001130817	ENSDARG00000105711	ENSDART00000167567
NM_001130818	ENSDARG00000008407	ENSDART00000002691
NM_001130840	ENSDARG00000054619	ENSDART00000076845
NM_001130840	ENSDARG00000114204	ENSDART00000185620
NM_001130853	ENSDARG00000079784	ENSDART00000147019
NM_001130857	ENSDARG00000078188	ENSDART00000110582
NM_001130959	ENSDARG00000078916	ENSDART00000113734
NM_001130962	ENSDARG00000009418	ENSDART00000044083
NM_001131051	ENSDARG00000019742	ENSDART00000044697
NM_001131051	ENSDARG00000113084	ENSDART00000189342
NM_001131052	ENSDARG00000104961	ENSDART00000170470
NM_001131053	ENSDARG00000041623	ENSDART00000061007
NM_001131053	ENSDARG00000113583	ENSDART00000186782
NM_001134362	ENSDARG00000056099	ENSDART00000151874
NM_001134362	ENSDARG00000114297	ENSDART00000183586
NM_001134682	ENSDARG00000075599	ENSDART00000109089
NM_001134683	ENSDARG00000057368	ENSDART00000080014
